,Unnamed: 0,Telegram Channel Name ,Code,Sample imported in Label Studio,Affiliation,Link,# of entries,# Subscribers,Start Date,End date / Collected on,Collected by,Notes
0,1,Операция Z: Военкоры Русской Весны,2.0,yes,Ru,https://t.me/RVvoenkor,,,,,,Updated link
1,2,Unian,17.0,,Ukr,https://t.me/uniannet,94701.0,846585,09/01/2021,05/05/2023,Jennifer,
2,3,Ukraina Online,16.0,,Ukr,https://t.me/+gRODKk7jO3xlYzU6,460206.0,1239500,09/01/2021,05/05/2023,Jennifer,
3,4,Pravdivosti,12.0,yes,,https://t.me/+Ocayu2hF8Go2YzUy,,,,,,Updated link
4,5,Nexta Live,0.0,yes,Ukr,https://t.me/nexta_live,50976.0,1221394,09/01/2021,05/05/2023,Jennifer,
5,6,Kipiatochek,11.0,yes,Ru,https://t.me/+utEAaND2Ug1jNzZi,15743.0,421544,09/01/2021,05/05/2023,Jennifer,
6,7,Ukraina Seichas,15.0,,Ukr,https://t.me/u_now,93059.0,1710235,09/01/2021,05/05/2023,Jennifer,
7,8,Zhest Dnia,18.0,,Ru,https://t.me/zvoinaukraina,21464.0,1503829,09/01/2021,05/05/2023,Jennifer,
8,9,Forpost,1.0,yes,,https://t.me/vorposte,39045.0,101984,09/01/2021,05/05/2023,Jennifer,
9,10,Dud,,,Ukr,https://t.me/yurydud,115.0,924272,09/01/2021,05/05/2023,Jennifer,
10,11,Ukraine_Alert,42.0,,Ukr,https://t.me/alert_ukraine,2134.0,1946,09/01/2021,05/05/2023,Jennifer,
11,12,kyivcityofficial,38.0,,Ukr,https://t.me/KyivCityOfficial,6482.0,497209,09/01/2021,05/05/2023,Jennifer,
12,13,informator_UKR,19.0,,Ukr,https://t.me/+LV7tr2_vgu02NjAy,34001.0,331890,09/01/2021,05/05/2023,Jennifer,
13,14,kyivpolitics,20.0,,Ukr,https://t.me/KyivPolitics,21377.0,114381,09/01/2021,05/05/2023,Jennifer,
14,15,ukrainenowrussia,,,,https://t.me/ukrainenowrussia,11940.0,361142,09/01/2021,05/05/2023,Jennifer,
15,16,невзоров,14.0,,Ukr,https://t.me/nevzorovtv,7818.0,1109497,09/01/2021,05/05/2023,Jennifer,
16,17,zerkalo.io,3.0,yes,Ukr,https://t.me/zerkalo_io,46390.0,287246,09/01/2021,05/05/2023,Jennifer,
17,18,adbestias,13.0,,,https://t.me/adbestias,4300.0,26485,09/01/2021,05/05/2023,Jennifer,
18,19,ZOV [previously: Украина Online Новости Война],,,,https://t.me/UkrainaOnlline,105.0,326,09/01/2021,05/05/2023,Jennifer,
19,20,meduza,4.0,yes,Ukr,https://t.me/meduzalive,82399.0,1180541,09/01/2021,05/05/2023,Jennifer,
20,21,осторожно новости,5.0,yes,,https://t.me/ostorozhno_novosti,15975.0,1352776,09/01/2021,05/22/2023,Jennifer,
21,22,Пивоваров редакция,6.0,,Ukr,https://t.me/redakciya_channel,18231.0,970622,09/01/2021,05/22/2023,Jennifer,
22,23,Ukraine now,7.0,yes,Ukr,https://t.me/UkraineNow,32762.0,751086,09/01/2021,05/22/2023,Jennifer,
23,24,Детектор медіа,8.0,yes,Ukr,https://t.me/detector_media,8813.0,7219,09/01/2021,05/22/2023,Jennifer,
24,25,varlamov_news,9.0,yes,Ukr,https://t.me/varlamov_news,40498.0,1012751,09/01/2021,05/22/2023,Jennifer,
25,26,УП_стичка,10.0,yes,Ukr,https://t.me/ukrpravda_news,30484.0,155353,09/01/2021,05/22/2023,Jennifer,
26,27,DeepState_ukr,32.0,,Ukr,https://t.me/DeepStateUA,15945.0,526929,09/01/2021,05/22/2023,Jennifer,
27,28,WarGonzo ,49.0,,,https://t.me/wargonzo,12084.0,1280983,09/01/2021,05/22/2023,Jennifer,
28,29,Сладков +,43.0,,,https://t.me/Sladkov_plus,6063.0,999364,09/01/2021,05/22/2023,Jennifer,
29,30,Поддубный |Z|О|V| edition,21.0,,,https://t.me/epoddubny,15416.0,890105,09/01/2021,05/22/2023,Jennifer,|Z|О|V| shortened to ZOV
30,31,Kotsnews,22.0,,,https://t.me/sashakots,39098.0,653939,09/01/2021,05/22/2023,Jennifer,
31,32,Повёрнутые на Z войне 🇷🇺,23.0,,Ru,https://t.me/voenacher,43064.0,694019,09/01/2021,05/22/2023,Jennifer,"""🇷🇺"" excluded from file name."
32,33,Военный Осведомитель,24.0,,Ru,https://t.me/milinfolive,97036.0,552092,09/01/2021,05/22/2023,Jennifer,""" ' "" excluded from file name."
33,34,Vоенкор Котенок Z,25.0,,Ru,https://t.me/voenkorKotenok,46356.0,423999,09/01/2021,05/22/2023,Jennifer,
34,35,КОНФЛИКТ 🅉 ,,,Ru,https://t.me/konfliktworld,21304.0,10703,09/01/2021,05/22/2023,Jennifer,Z used instead of 🅉 
35,36,Милитарист,26.0,,,https://t.me/infantmilitario,97292.0,199598,09/01/2021,05/22/2023,Jennifer,
36,37,WarJournal [Z],27.0,,Ru,https://t.me/warjournaltg,20862.0,45714,09/01/2021,05/22/2023,Jennifer,
37,38,Directorate 4,34.0,,,https://t.me/directorate4,15820.0,46045,09/01/2021,05/22/2023,Jennifer,
38,39,Oleg Blokhin ,28.0,,,https://t.me/Oleg_Blokhin,58177.0,35462,09/01/2021,05/22/2023,Jennifer,
39,40,Мадуро - не дура ,29.0,,,https://t.me/apleonkov,14590.0,35135,09/01/2021,05/22/2023,Jennifer,"""-"" removed"
40,41,Военкор 🅉 Медведев ,45.0,,Ru,https://t.me/medvedev_note,6749.0,31250,09/01/2021,05/22/2023,Jennifer,Z used instead of 🅉
41,42,Спецоперация на Украине. Правдивые новости,30.0,,Ru,https://t.me/specops2022,21373.0,32336,09/01/2021,05/22/2023,Jennifer,
42,43,Conflict Zone,33.0,,,https://t.me/ConflictZone24,,,09/01/2021,05/22/2023,Jennifer,Updated link
43,44,Крылья войны,36.0,,,https://t.me/wingsofwar,14756.0,25619,09/01/2021,05/22/2023,Jennifer,""" ' "" excluded from file name."
44,45,Вестник Дамаска,44.0,,,https://t.me/NovostiDamask,16202.0,11227,09/01/2021,05/22/2023,Jennifer,Pro Russian channel on the war in Syria. Could be useful?
45,46,Vоенная БаZа,46.0,,Ru,https://t.me/kapterkarus,3064.0,4037,09/01/2021,05/22/2023,Jennifer,
